INTC (7)
Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,50.689999,51.980000,50.450001,51.830002,50.231136,33239800
2022-03-28,51.360001,51.570000,50.560001,51.509998,49.921005,22932400
2022-03-29,52.000000,52.290001,51.279999,52.250000,50.638180,27303700
2022-03-30,52.250000,52.509998,51.220001,51.430000,49.843475,24623300
2022-03-31,51.200001,51.259998,49.509998,49.560001,48.031162,43698300
2022-04-01,49.830002,49.900002,47.330002,48.110001,46.625893,46598600
2022-04-04,48.169998,49.230000,47.919998,49.200001,47.682266,23784900
2022-04-05,48.830002,48.980000,48.020000,48.130001,46.645275,25779200
2022-04-06,47.439999,48.169998,47.240002,47.540001,46.073475,31518700
2022-04-07,47.430000,47.910000,46.770000,47.560001,46.092861,24117000
2022-04-08,47.279999,47.580002,46.849998,47.020000,45.569515,22167300
2022-04-11,46.900002,47.299999,46.529999,46.570000,45.133400,30352500
2022-04-12,47.320000,47.910000,46.410000,46.500000,45.065559,29861400
2022-04-13,46.750000,47.270000,46.549999,47.009998,45.559822,22171300
2022-04-14,46.750000,46.750000,45.619999,45.669998,44.261158,36181800
2022-04-18,45.529999,46.889999,45.520000,46.639999,45.201237,25593100
2022-04-19,46.599998,48.000000,46.340000,47.930000,46.451447,31483100
2022-04-20,48.360001,48.750000,47.980000,48.110001,46.625893,22787100
2022-04-21,48.619999,48.900002,47.400002,47.500000,46.034706,27316900
2022-04-22,47.450001,47.650002,46.500000,46.540001,45.104324,28219900
2022-04-25,46.209999,47.139999,46.180000,47.060001,45.608284,35999300
2022-04-26,46.689999,46.840000,45.509998,45.520000,44.115788,35356600
2022-04-27,45.480000,46.060001,45.009998,45.220001,43.825043,28320900
2022-04-28,45.790001,47.270000,45.540001,46.840000,45.395073,41097000
2022-04-29,44.990002,45.360001,43.500000,43.590000,42.245323,70765900
2022-05-02,43.720001,44.990002,43.509998,44.959999,43.573063,45446500
2022-05-03,44.790001,45.490002,44.230000,45.060001,43.669979,40158400
2022-05-04,45.060001,46.639999,44.410000,46.540001,45.104324,44625600
2022-05-05,45.599998,45.910000,44.130001,44.599998,43.565842,52996700
2022-05-06,44.490002,45.150002,43.840000,44.299999,43.272800,40916600
2022-05-09,43.810001,44.200001,42.869999,43.070000,42.071320,44925800
2022-05-10,44.349998,44.740002,43.500000,44.009998,42.989521,42770000
2022-05-11,44.020000,44.290001,42.779999,42.830002,41.836887,40351700
2022-05-12,42.730000,42.910000,42.009998,42.840000,41.846653,42329600
2022-05-13,43.419998,43.840000,42.970001,43.599998,42.589027,32034100
2022-05-16,43.419998,43.610001,42.790001,43.080002,42.081089,25071900
2022-05-17,43.820000,44.419998,43.650002,44.400002,43.370483,28596600
2022-05-18,43.980000,43.980000,42.220001,42.349998,41.368015,35218400
2022-05-19,42.320000,42.700001,41.720001,42.009998,41.035900,29181000
2022-05-20,42.250000,42.290001,40.310001,41.650002,40.684246,44802300
2022-05-23,41.689999,42.250000,41.330002,42.000000,41.026131,27199500
2022-05-24,41.700001,41.889999,41.099998,41.669998,40.703777,29837500
2022-05-25,41.439999,42.520000,41.389999,42.200001,41.221493,26283100
2022-05-26,42.169998,43.680000,42.080002,43.480000,42.471809,28826700
2022-05-27,43.590000,44.549999,43.549999,44.549999,43.517002,30553300
2022-05-31,44.250000,44.750000,43.650002,44.419998,43.390015,41111500
2022-06-01,44.770000,44.930000,43.529999,44.110001,43.087208,29885500
2022-06-02,44.189999,44.880001,43.939999,44.840000,43.800278,28727600
2022-06-03,44.110001,44.250000,43.340000,43.389999,42.383900,33174700
2022-06-06,43.810001,44.040001,43.080002,43.340000,42.335056,25437100
2022-06-07,43.060001,43.590000,42.660000,43.529999,42.520653,25168700
2022-06-08,42.250000,42.259998,41.029999,41.230000,40.273983,59649900
2022-06-09,41.009998,41.349998,40.009998,40.009998,39.082272,39047200
2022-06-10,39.849998,40.080002,39.180000,39.180000,38.271519,43066200
2022-06-13,38.549999,38.810001,37.669998,37.770000,36.894211,50335900
2022-06-14,38.009998,38.200001,37.540001,37.930000,37.050503,31351700
2022-06-15,38.560001,39.169998,37.919998,38.650002,37.753807,37652300
2022-06-16,37.700001,37.790001,36.930000,37.340000,36.474186,45576500
2022-06-17,37.480000,38.119999,36.599998,36.970001,36.112762,71393200
2022-06-21,37.360001,38.029999,37.330002,37.730000,36.855141,34004900
2022-06-22,37.330002,37.770000,37.220001,37.380001,36.513256,32571000
2022-06-23,37.610001,37.619999,36.910000,37.410000,36.542561,30163000
2022-06-24,37.849998,38.639999,37.740002,38.610001,37.714737,38159900
2022-06-27,38.869999,39.060001,38.470001,38.630001,37.734272,29585300
2022-06-28,38.580002,39.020000,37.740002,37.779999,36.903976,37824200
2022-06-29,37.540001,37.599998,37.020000,37.290001,36.425343,25437200
2022-06-30,37.209999,38.000000,36.730000,37.410000,36.542561,35141000
2022-07-01,37.090000,37.200001,35.880001,36.340000,35.497372,40596300
2022-07-05,35.930000,36.740002,35.540001,36.689999,35.839252,33215000
2022-07-06,36.820000,37.419998,36.459999,36.990002,36.132301,26258300
2022-07-07,37.889999,38.330002,37.730000,38.139999,37.255634,33165400
2022-07-08,37.660000,38.139999,37.389999,37.990002,37.109116,22566300
2022-07-11,37.660000,37.669998,37.029999,37.200001,36.337433,25904300
2022-07-12,37.650002,37.700001,36.990002,37.209999,36.347198,30546300
2022-07-13,36.680000,37.430000,36.619999,37.209999,36.347198,27059200
2022-07-14,36.990002,38.160000,36.290001,37.709999,36.835602,36690700
2022-07-15,38.270000,38.669998,37.730000,38.619999,37.724503,32892300
2022-07-18,39.099998,39.340000,38.529999,38.709999,37.812416,30814400
2022-07-19,39.320000,40.730000,39.240002,40.220001,39.287407,53095300
2022-07-20,40.209999,40.669998,39.560001,40.560001,39.619522,36387900
2022-07-21,40.509998,40.650002,39.820000,40.610001,39.668362,29661200
2022-07-22,40.369999,40.509998,38.939999,39.200001,38.291058,41350000
2022-07-25,39.279999,39.410000,38.549999,39.160000,38.251984,32263400
2022-07-26,39.099998,39.570000,38.880001,38.959999,38.056618,35925500
2022-07-27,39.270000,40.419998,39.230000,40.180000,39.248329,42571600
2022-07-28,40.090000,40.119999,39.040001,39.709999,38.789227,56662300
2022-07-29,35.599998,36.619999,35.240002,36.310001,35.468071,125292400
2022-08-01,36.049999,37.689999,36.049999,36.959999,36.102993,52513400
2022-08-02,36.590000,36.660000,36.000000,36.009998,35.175022,53929400
2022-08-03,36.090000,36.590000,35.259998,36.520000,35.673199,59513900
2022-08-04,36.009998,36.099998,35.360001,35.660000,35.184792,54046300
2022-08-05,35.349998,35.689999,35.180000,35.389999,34.918392,40205100
2022-08-08,35.360001,35.959999,35.200001,35.380001,34.908524,41534600
2022-08-09,35.220001,35.299999,34.400002,34.520000,34.059986,48202300
2022-08-10,34.990002,35.400002,34.590000,35.369999,34.898655,42243300
2022-08-11,35.639999,36.290001,35.490002,35.590000,35.115726,35569700
2022-08-12,35.799999,36.139999,35.669998,36.110001,35.628796,37675200
2022-08-15,36.099998,36.430000,35.709999,36.340000,35.855732,25400600
2022-08-16,36.160000,36.580002,35.700001,36.189999,35.707729,25000200
2022-08-17,35.810001,36.080002,35.270000,35.779999,35.303192,29176100
